File name,Original_node,Original_edge,Pruning_node,Pruning_edge,Reduction_node,Reduction_edge
B6A5F18A18D98EBB84328F704DD205AE03FF3B2437D7A1AA56B5520CFBB6D870.apk,97,107,97,107,0,0
676DAF9F1B9EE4923844E0C14793DF33299F89C8C6DFE20EE2F0DDAA20F8BE1E.apk,97,107,97,107,0,0
F34050046D2F1BD93D497F47C37665C56CEF49D79DC47CCB671C7AE418B8C219.apk,84,92,84,92,0,0
5961D0B0C2900ACF28FB77AAC0AEED736AA3075E9E8DB41CF10174DE918BD70D.apk,84,92,84,92,0,0
383EC1351D944CE63FD9BA40F053A4D9A911A78B7F3F2E9219C795F7F0F07943.apk,98,104,98,104,0,0
25C0118F50F33E590B8CB23C42F93B5A5BB2B80F8232CB85B8DD3314D1A103C2.apk,98,104,98,104,0,0
F5DB3292F96D15E04845F775ABA111DA27B77B1082A3F96ED4F8E8E6C1811C16.apk,131,186,131,186,0,0
8FF23F717D42C4823C6ACFC56948D5B177746D00B78FDC031819E4166052FF72.apk,239,351,239,351,0,0
BBC73207A7BFEE30F2CF80EF935BCEE61FDF53D3C43A55B607DB6324ECD735A7.apk,101,111,101,111,0,0
6AC3E2E30398A5BDDDC8DCD3856EC809857476C3099632F3315B22F4D8A84807.apk,98,104,98,104,0,0
67A96A946A7AF4596CB849B48CCEE19D044F15D90992959D5B4525D0472B097E.apk,101,111,101,111,0,0
6D1A1BBE6F8A84C0505FD51687D598D2C58A1FBD32B22EAD2CC637E3834AD4B2.apk,98,104,98,104,0,0
12B8B7CD4E71C434A77C8784D2A98CA4D0019EC7B21BAAEB26212A934D164038.apk,84,92,84,92,0,0
C5B64C5BCEE88ADA6A1CC24A73236F2448999282C7BB078ACA42E383834709C1.apk,98,104,98,104,0,0
C9E30517B255D5F6568EF48CC332A575DCA4B4251E09D0CB915D47C6D5AF741B.apk,87,99,87,99,0,0
31427A674A6BC04181F53EAC5131AE9E8281B4D488A88A427179EF8A2D01327C.apk,98,104,98,104,0,0
EC463F87B37FDA6A6AA2C7DE2EB8A05876156676A7B08DE640C1E90FA14EE401.apk,98,104,98,104,0,0
BAC58D4AF0F0A6D97EB7EC3E76A6660E4115A49E6AD18715C890E0D803CA2C31.apk,166,196,166,196,0,0
DB29EA936FD4B907945DE82270AFBC3DC055F5D427BC004B277CFEF61A18353D.apk,97,107,97,107,0,0
67E4B3AC8C673CF83253EA83315E0262812C7CB3363610D428BA7F8763410250.apk,119,158,119,158,0,0
A609F5FCDA96E9A974F0EAF72FF34DC9DA221ADBD3BE857304415377190A6B81.apk,119,158,119,158,0,0
B60A079862FED58C3810DDEDD6E8274291BC9ACA7173E4460DA8E91CB764FFDA.apk,97,107,97,107,0,0
5EA91E8687AAB0B019ACE9A1A7ABC07692A585477391B2FC1345A54013A7FE48.apk,98,104,98,104,0,0
9290B65F4761FF59EC2D1502F7B6F5C3A18137ACCEDFCBF422B58D4CCDA44F98.apk,101,111,101,111,0,0
E2FC0F49FEC4B6D75F66D13C644A7849739A236CD2861E78BD6829DEE80D333A.apk,119,158,119,158,0,0
305CFE9641E7896C84770A8BDE33051D43C5BB01515C731A82CA4C4CE1202979.apk,98,104,98,104,0,0
1886A82DBAB6BD8B2EA53E254792030E71BA1AFA63B22791F9D5EDEC106784F8.apk,98,104,98,104,0,0
821ACD320C47DAD15EB55F2B1983DD1FCE322A962312F1A1B8219282CC996539.apk,98,104,98,104,0,0
BFC9A4243631883B1836C69E8CB93B2DC9FC05E742F489B46CA586E7243507CE.apk,87,99,87,99,0,0
B861C281716A58961682EAA1754B92C022098BD92DFAB4270C11B98FCB828304.apk,101,111,101,111,0,0
53D681062AFB43E64C722ABE2EEF03594916FFE56D6FE820F23B9A2852E7BF81.apk,86,91,86,91,0,0
18D3C07EFE0A27ED94A3B93834FBBA55CFDC3E34AC519ABFB6FFF4DECC440B8B.apk,98,104,98,104,0,0
AE672AC24FF959A2CFA69955DF65A8C3BE949B2B8A921155AA6D195752BB413C.apk,101,111,101,111,0,0
